text,topic
"Edwards tips Idowu for Euro gold

World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.

Idowu landed 17.30m at the British trials in Sheffield last month to lead the world triple jump rankings. ""It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards. ""His ability is undoubted but all his best performances seem to happen in domestic meetings.""

Idowu made his breakthrough five years ago but so far has only a Commonwealth silver medal to his name. Edwards himself kept Idowu off top spot at the Manchester Games. But he believes the European Indoors in Madrid represent a chance for the 26-year-old to prove his credentials as Britain's top triple jumper. ""He has to start producing at international level and here is the beginning,"" said Edwards. ""Phillips still needs to be much more consistent. I'm sure a victory in Madrid will build up his confidence and self-belief that he can be best in the world."" The qualifying round of the men's triple jump in Madrid takes place on Friday with the final scheduled for Saturday. Olympic champion Christian Olsson will not be taking part as he is out for the entire indoor season with an ankle injury.
",athletics
"Kenya lift Chepkemei's suspension

Kenya's athletics body has reversed a ban on marathon runner Susan Chepkemei after she made an official apology.

Athletics Kenya (AK) had suspended the two-time London Marathon runner-up for failing to turn up to a cross-country team training camp in Embu. ""We have withdrawn the ban. Chepkemei has given a reason for her absence,"" said AK chief Isaiah Kiplagat. ""She explained she had a contract with the organisers of the race in Puerto Rice and we have accepted her apology.""

The Kenyan coaching team will now decide whether Chepkemei can be included in the team for this month's world cross country championships. The 29-year-old would be a strong contender at the event in France and is hopeful she will be granted a place in the 32-strong squad. ""I am satisfied that the whole saga has been brought to an end,"" Chepkemei said. ""I am ready and prepared to represent my country. ""I will be disappointed if I am not given a chance to compete at the world cross country championships."" AK had insisted it was making an example of Chepkemei by banning her from competition until the end of 2005. But the organisation came under intense international and domestic pressure to reverse its decision. The 29-year-old took part in the 2002 and 2003 London Marathons and was edged out by Radcliffe in an epic New York Marathon contest last year.

The two-time world half-marathon silver medallist will be back to challenge Radcliffe at this year's London event in April. AK also dropped its harsh stance on three-time world cross country 4km champion Edith Masai. Masai missed Kenya's world cross country trials because of an ankle problem but AK insisted it would take disciplinary action unless she could prove she was really injured. ""Subject to our doctor's confirmation, we have decided to clear Masai,"" added Kiplagat.
",athletics
"McIlroy aiming for Madrid title

Northern Ireland man James McIlroy is confident he can win his first major title at this weekend's Spar European Indoor Championships in Madrid.

The 28-year-old has been in great form in recent weeks and will go in as one of the 800 metres favourites. ""I believe after my wins abroad and in our trial race in Sheffield, I can run my race from the front, back or middle,"" said McIlroy. New coach Tony Lester has helped get McIlroy's career back on track. The 28-year-old 800 metres runner has not always matched his promise with performances but believes his decision to change coaches and move base will bring the rewards. McIlroy now lives in Windsor and feels his career has been transformed by the no-nonsense leadership style of former Army sergeant Lester. Lester is better known for his work with 400m runners Roger Black and Mark Richardson in the past but under his guidance McIlroy has secured five wins this indoor season.

McIlroy now claims he is in his best shape since finishing fourth for Ireland at the outdoor European Championships in 1998. ""That was my last decent year,"" said McIlroy, who temporarily retired last August before returning to the sport under Lester's shrewd guidance. ""Before, every race was like trying to climb Mount Everest and I now know you can't do it on your own. ""Trying to succeed saw me sometimes standing half-dead and terrified on the starting line, which became a bit too much."" McIlroy, who was compared to the likes of Sebastian Coe, Steve Cram and Steve Ovett in his younger days, is now competing without the benefit of National Lottery funding. That situation could change if he maintains his current form and repeats the world-class times he produced in the 800m and 1000m at major races in Erfurt and Stuttgart earlier this season. Russian Dmitriy Bogdanov won at the same Madrid venue last week and then claimed the European Championship race would be between himself, Dutchman Arnoud Okken and Antonio Reina of Spain but McIlroy is unfazed.

He admitted: ""He looked quite good in his win and fair enough everyone has the right to their own opinion. ""I never write myself off and let's face it, I haven't or looked like being beaten this season."" And McIlroy, whose time of one minute 46.68seconds in Erfurt elevated him to sixth place on the UK All-Time list, is also already looking beyond Madrid. He said: ""I've been much more focused this year about my career and having such a good team around me has been very important. ""Ultimately of course, this weekend is a means to an end and that is getting prepared for the summer's world championships. ""That ambition has meant that I've had only two nights out since last August. The rest of my time has seen me just concentrating on rebuilding my career.""
",athletics
"UK Athletics agrees new kit deal

UK Athletics has agreed a new deal with adidas to supply Great Britain squads of all ages with their kit for the next four years.

The German-based firm kitted out Team GB at the 2004 Olympics and has deals with 20 other national Olympic bodies. UK Athletics chief David Moorcroft said: ""The Athens experience can now be extended to more major championships. ""In the year ahead these include the European indoor and World outdoor championships. We are delighted."" Moorcroft added: ""It is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events."" This week, UK Athletics also agreed a four-year deal with energy drink company, Red Bull, who will be supplying the product to athletics at major domestic meetings and in high performance centres.
",athletics
"Verdict delay for Greek sprinters

Greek athletics' governing body has postponed by two weeks the judgement on sprinters Costas Kenteris and Katerina Thanou for missing doping tests.

The pair are facing lengthy bans for the missed tests, including one on the eve of last year's Athens Olympics. They were set to learn their fate by the end of February, but late evidence from them has pushed the date back. ""A decision is now expected by around mid-March,"" said one of their lawyers, Michalis Dimitrakopoulos. Kenteris, 31, who won the men's 200m title at the 2000 Sydney Games and Thanou, 30, who won the women's 100m silver medal in Sydney, face a maximum two-year ban if found guilty. The athletes, who spectacularly withdrew from the Athens Olympics, have been suspended by the International Association of Athletics Federations (IAAF) for missing the three tests. The IAAF said the sprinters had failed to provide samples for tests in Tel Aviv, Chicago and Athens and ordered Greek athletic's governing body, Segas, to hold a disciplinary inquiry. The athletes also face a criminal hearing in Greece over the missed drugs tests and have been charged with faking a motorcycle accident on the day of the Athens test, which led to them spending four days in hospital. Following the final hearing in late January, the athletes sounded confident they would be acquitted. ""I am confident and optimistic,"" Thanou had said at the time. ""We presented new evidence to the committee that they were not aware of."" It was not clear what this new evidence was.
",athletics
"Call for Kenteris to be cleared

Kostas Kenteris' lawyer has called for the doping charges against the Greek sprinter to be dropped.

Gregory Ioannidis has submitted new evidence to a Greek athletics tribunal which he claims proves the former Olympic champion has no case to answer. Kenteris and compatriot Katerina Thanou were given provisional suspensions in December for failing to take drugs tests before the Athens Olympics. The Greek tribunal is expected to give its verdict early next week. Kenteris and Thanou withdrew from the Athens Olympics last August after missing drugs tests on the eve of the opening ceremony. They were also alleged to have avoided tests in Tel Aviv and Chicago before the Games.

But Ioannidis said: ""Everything overwhelmingly shows that the charges should be dropped."" Ioannidis also said he has presented evidence that will throw a different light on the events leading up to the pair's sensational withdrawal from the Athens Games. The lawyer added that he has proof the authorities ""knew"" Kenteris was in Germany at the time he was alleged to have missed a test in Chicago. Nick Davies, spokesman for athletics' ruling body the IAAF, which handed out the provisional bans, said: ""We can't comment because we were not present at the hearing and don't know what was said behind closed doors. ""We expect a verdict from the Greek Athletics Federation before the end of February and will obviously be making a statement then."" Kenteris won 200m gold at the 2000 Sydney Olympics, while Thanou won silver in the 100m.
",athletics
"Merritt close to indoor 400m mark

Teenager LaShawn Merritt ran the third fastest indoor 400m of all time at the Fayetteville Invitational meeting.

The world junior champion clocked 44.93 seconds to finish well clear of fellow American Bershawn Jackson in Arkansas. Only Michael Johnson has gone quicker, setting the world record of 44.63secs in 1995 and running 44.66secs in 1996. Kenyan Bernard Lagat missed out on the world record by 1.45secs as he ran the third quickest indoor mile ever to beat Canada's Nate Brannen by almost 10secs. The Olympic silver medallist's time of three minutes 49.89secs was inferior only to the 1997 world record of Moroccan Hicham El Guerrouj and former world record holder Eamonn Coghlan of Ireland's 3:49.78. Lagat was on course to break El Guerrouj's record through 1200m but could not maintain the pace over the final 400m. Ireland's

continued his excellent form by winning a tight 3,000m in 7:40.53. Cragg, who recently defeated Olympic 10,000m champion Kenenisa Bekele in Boston, held off Bekele's Ethiopian colleague Markos Geneti by only 0.19secs to secure his victory. Mark Carroll, who will join Cragg in the European Indoor Championships next month, finished a solid third in 7:46.78. Olympic 200m gold medallist

of Jamaica ran the fastest women's 60m in the world this year as she equalled her personal best of 7.09secs. World indoor 60m hurdles champion

also won, improving his season-leading time to 7.51secs.
",athletics
"London hope over Chepkemei

London Marathon organisers are hoping that banned athlete Susan Chepkemei will still take part in this year's race on 17 April.

Chepkemei was suspended from all competition until the end of the year by Athletics Kenya after failing to report to a national training camp. ""We are watching it closely,"" said London race director David Bedford. ""There is a long way to go before the race and we are hoping the situation will be satisfactorily resolved."" The camp in Embu was to prepare for the IAAF World Cross Country Championships later this month. Chepkemei however took part and finished third in last Sunday's world best 10K race in Puerto Rico. The 29-year-old has finished second to Paula Radcliffe in the 2002 and 2003 London races as well as in November's New York City marathon.
",athletics
"Edwards tips Idowu for Euro gold

World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.

Idowu landed 17.30m at the British trials in Sheffield last month to lead the world triple jump rankings. ""It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards. ""His ability is undoubted but all his best performances seem to happen in domestic meetings.""

Idowu made his breakthrough five years ago but so far has only a Commonwealth silver medal to his name. Edwards himself kept Idowu off top spot at the Manchester Games. But he believes the European Indoors in Madrid represent a chance for the 26-year-old to prove his credentials as Britain's top triple jumper. ""He has to start producing at international level and here is the beginning,"" said Edwards. ""Phillips still needs to be much more consistent. I'm sure a victory in Madrid will build up his confidence and self-belief that he can be best in the world."" The qualifying round of the men's triple jump in Madrid takes place on Friday with the final scheduled for Saturday. Olympic champion Christian Olsson will not be taking part as he is out for the entire indoor season with an ankle injury.
",athletics
"Chepkemei hit by big ban

Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.

Athletics Kenya (AK) issued the ban after Chepkemei failed to turn up for a cross country training camp in Embu. ""We have banned her from all local and international competitions,"" said AK chief Isaiah Kiplagat. ""We shall communicate this decision to the IAAF and all meet directors all over the world."" The 29-year-old finished second to Paula Radcliffe in the 2002 and 2003 London races, and was also edged out in an epic New York Marathon contest last year.

But the ban will prevent the two-time world half-marathon silver medallist from challenging Radcliffe at this year's London event in April. Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March. But AK maintained it was making an example of Chepkemei as a warning to other Kenyan athletes. ""We are taking this action in order to salvage our pride,"" said Kiplagat. ""We have been accused of having no teeth to bite with and that agents are ruling over us."" KA has also threatened three-time women's short-course champion Edith Masai with a similar ban if reports that she feigned injury to avoid running at the cross country world championships are true. Masai missed the national trials in early February, but was included in the provisional team on the proviso that she ran in a regional competition. She failed to run in the event, citing a leg injury.
",athletics
"Holmes secures comeback victory

Britain's Kelly Holmes marked her first appearance on home soil since winning double Olympic gold with 1500m victory at the Norwich Union International.

Holmes hit the front just before the bell in front of a sell-out crowd in Glasgow and cruised to victory in a time of four minutes 14.74 seconds. ""It was nice to get that out of the way. I was nervous about whether I would actually be able to get round. ""I felt good. I just had to relax and use my racing knowledge,"" said Holmes. ""It was all about winning in front of my home crowd. The time is irrelevant. ""I got round in one piece and didn't disgrace myself. Now it's about going forward. ""The reception I've had since the Olympics has been amazing and that's why I wanted to keep running this year, because I get a buzz from the crowd."" Holmes ran a tactically perfect race to finish clear of France's Hind Dehiba and Russia's Svetlana Cherkasova. The Olympic 800m and 1500m champion's time was inside the qualifying mark for the European Indoor Championships in Madrid in March. But the 34-year-old would not reveal whether she intended to run or not, having previously indicated she would leave a decision until after the Birmingham Grand Prix on 18 February.
",athletics
"Greek pair attend drugs hearing

Greek sprinters Kostas Kenteris and Katerina Thanou have appeared before an independent tribunal which will decide if their bans should stand.

They were given provisional suspensions by athletics' ruling body the IAAF in December for failing to take drugs tests before the Athens Olympics. The pair arrived with former coach Christos Tzekos to give evidence at the Hellenic Olympic Committee's offices. A decision is expected to be announced before the end of February. Whatever the ruling, all parties will have the right to appeal to the Court of Arbitration for Sport. Yiannis Papadoyiannakis, who was head of the Greek Olympic team at the Athens Games last year, also testified at the tribunal, along with other Greek sports officials and athletes. ""I believe the tribunal will reach a decision that will uphold the standing of the institution,"" said Papadoyiannakis. ""Whatever the athletes have done, we must not forget that they have offered us great moments."" Kenteris won 200m gold at the 2000 Sydney Olympics, while Thanou won silver in the 100m.

They withdrew from the Athens Games last August after missing drugs tests on the eve of the opening ceremony. The pair spent four days in a hospital, claiming they had been injured in a motorcycle crash. The five-member tribunal, assembled by the Hellenic Association of Amateur Athletics, is also examining allegations that Kenteris and Thanou avoided tests in Tel Aviv and Chicago before the Games. Tzekos was also banned for two years by the IAAF. He faces charges of assisting in the use of prohibited substances and tampering with the doping inspection process. All three, who have repeatedly denied the allegations, have also been charged by a Greek prosecutor and face trial for doping-related charges. A trial date has not been set. In imposing two-year suspensions on the duo on 22 December, the IAAF described their explanations for missing the tests as ""unacceptable"". But Kenteris' lawyer Gregory Ioannidis told BBC Sport earlier this week he was confident the sprinters would be cleared of the charges of failing to give information on their location and refusing to submit to testing. ""We refute both charges as unsubstantiated and illogical,"" he said. ""There have been certain breaches in the correct application of the rules on behalf of the sporting authorities and their officials, and these procedural breaches have also violated my client's rights. ""There is also evidence that proves the fact that my client has been persecuted.""
",athletics
"Chepkemei joins Edinburgh line-up

Susan Chepkemei has decided she is fit enough to run in next month's Great Edinburgh International Cross Country.

The Kenyan was initially unsure if she would have recovered from her gruelling tussle with Paula Radcliffe in the New York Marathon in time to compete. But she has declared herself up to the task and joins a field headed by World cross country champion Benita Johnson. Race director Matthew Turnbull said: ""Susan will add even more strength in depth to the world-class line up."" Chepkemei, who won the six kilometre event three years ago when it was staged in Newcastle, endured an epic battle with Radcliffe in the Big Apple until the Briton outsprinted her in the final 400m. Tirunesh Dibaba of Ethiopia will defend the title she won last year in Tyneside - before the race was moved north of the border. Recently-crowned European cross country champion Briton Hayley Yelling also competes in Edinburgh on 15 January, as does in-form Scot Kathy Butler.
",athletics
"El Guerrouj targets cross country

Double Olympic champion Hicham El Guerrouj is set to make a rare appearance at the World Cross Country Championships in France.

But the Moroccan, who has not raced over cross country for 15 years, will not decide until two weeks before the event which starts on 19 March. ""If I am to compete in it, it is only if I feel I can win,"" said the 30-year-old, who is retiring in 2006. ""Otherwise there is not much point in me going."" El Guerrouj achieved a lifetime ambition last August when he clinched his first Olympic titles over 1500m and 5,000m. But the four-time world 1500m champion is still hungry for more success before calling time on his career. The 30-year-old has set his sights on clinching the world 5,000m crown in Helsinki this summer. And he is aiming to break 10,000m Olympic champion Kenenisa Bekele's 5,000m and 10,000m world records.

El Guerrouj could meet Bekele in March as the Ethiopian is the defending world cross country champion over both the long and short courses. But the Moroccan will not commit himself to the St Galmier event until he assesses how well his winter training is going. ""The return to training was very difficult because I accepted a lot of invitations these past few months,"" said El Guerrouj. ""I am almost a month behind but I am on the right track.""


 - Britain's Paula Radcliffe has also not ruled out competing in the World Cross Country Championships. ""I haven't quite decided what events I will compete in prior to London but the World Cross Country is an event which is also special to me and is a definite possibility,"" said the two-time champion.
",athletics
"Collins appeals against drugs ban

Sprinter Michelle Collins has lodged an appeal against her eight-year doping ban with the North American Court of Arbitration for Sport (CAS).

The 33-year-old received the ban last month as a result of her connection to the federal inquiry into the Balco doping scandal. She is the first athlete to be banned without a positive drugs test or an admission of drugs use. CAS has said that a ruling is normally given within four months of an appeal. Collins was suspended by the US Anti-Doping Agency based on patterns observed in her blood and urine tests as well as evidence in the Balco investigation. As well as being hit with the ban, Collins was stripped of her 2003 world and US indoor 200m titles. The San Francisco-based Balco laboratory is at the centre of the scandal which has rocked the sport. The company has been accused of distributing illegal performance-enhancing drugs to elite athletes.
",athletics
"Holmes feted with further honour

Double Olympic champion Kelly Holmes has been voted European Athletics (EAA) woman athlete of 2004 in the governing body's annual poll.

The Briton, made a dame in the New Year Honours List for taking 800m and 1,500m gold, won vital votes from the public, press and EAA member federations. She is only the second British woman to land the title after- Sally Gunnell won for her world 400m hurdles win in 1993. Swedish triple jumper Christian Olsson was voted male athlete of the year. The accolade is the latest in a long list of awards that Holmes has received since her success in Athens. In addition to becoming a dame, she was also named the BBC Sports Personality of the Year in December. Her gutsy victory in the 800m also earned her the International Association of Athletics Federations' award for the best women's performance in the world for 2004. And she scooped two awards at the British Athletics Writers' Association annual dinner in October.
",athletics
"Campbell to extend sprint career

Darren Campbell has set his sights on running quicker than ever after deciding not to retire from sprinting.

Campbell, who won Olympic 4x100m relay gold, had been unsure about his future. But he told Five Live's Sportsweek: ""I had to get back into training before I could decide because if I didn't have the same hunger I'd have to walk away. ""I've started back and I'm thoroughly enjoying it. I'm looking forward to it. I've got to run under 10 seconds (for 100m) and under 20 seconds (for 200m)."" Campbell was part of the British quartet who shocked the Americans to win relay gold in Athens in August.

The Newport-based athlete and team-mates Jason Gardener, Marlon Devonish and Mark Lewis-Francis were rewarded with MBEs in the New Year Honours List. Campbell's relay triumph made up for his disappointing displays in the individual 100m and 200m events in Athens, when he failed to reach the finals. The 31-year-old, who won Olympic 200m silver in Sydney in 2000, said during the Games that a hamstring injury had stopped him from running at his best.

He was criticised at the time by former Olympic champion Michael Johnson, who cast doubt on Campbell's injury claims. ""To go to Athens and finally get the gold I've been trying to get for 24 years was a big relief,"" said Campbell. ""It was a chance for me to prove that if I'd been fit I would have been challenging for the (individual) medals. ""Every season I go and challenge for the medals so why would last season have been any different? ""It's just unfortunate that I picked up that injury just before the Olympics."" Campbell set his 100m personal best of 10.04secs when he won the European title in Budapest in 1998. And he ran 20.13secs in the quarter-finals of the 200m in Sydney on the way to Olympic silver.
",athletics
"Isinbayeva heads for Birmingham

Olympic pole vault champion Yelena Isinbayeva has confirmed she will take part in the 2005 Norwich Union Grand Prix in Birmingham on 18 February.

""Everybody knows how much I enjoy competing in Britain. I always seem to break records there,"" said Isinbayeva. ""As Olympic champion there will be more attention on me this year, but hopefully I can respond with another record in Birmingham."" Kelly Holmes and Carolina Kluft are among other Athens winners competing. The organisers are hoping that Isinbayeva's main rival, fellow Russian Svetlana Feofanova, will also take part in the event. The pair had a thrilling battle in Athens which ended with Isinbayeva finally jumping a world record of 4.91m to claim the gold medal. Isinbayeva, 22, has set 10 world records in the pole vault, three of which have come on British soil.
",athletics
